Activity Type,Activity,Calories (125 lbs),Calories (155 lbs),Calories (185 lbs),cal_per_lb_avg
Gym Activities,Weight Lifting: general,90,108,126,0.699285091543156
Gym Activities,Aerobics: water,120,144,168,0.9323801220575415
Gym Activities,"Stretching, Hatha Yoga",120,144,168,0.9323801220575415
Gym Activities,Calisthenics: moderate,135,162,189,1.048927637314734
Gym Activities,Aerobics: low impact,165,198,231,1.2820226678291196
Gym Activities,Stair Step Machine: general,180,216,252,1.398570183086312
Gym Activities,Weight Lifting: vigorous,180,216,252,1.398570183086312
Gym Activities,"Aerobics, Step: low impact",210,252,294,1.6316652136006973
Gym Activities,Aerobics: high impact,210,252,294,1.6316652136006973
Gym Activities,"Bicycling, Stationary: moderate",210,252,294,1.6316652136006973
Gym Activities,"Rowing, Stationary: moderate",210,252,294,1.6316652136006973
Gym Activities,Calisthenics: vigorous,240,306,336,1.9034699215344375
Gym Activities,Circuit Training: general,240,0,0,0.64
Gym Activities,"Rowing, Stationary: vigorous",255,369,440,2.266341179889567
Gym Activities,Elliptical Trainer: general,270,324,378,2.097855274629468
Gym Activities,Ski Machine: general,285,342,399,2.2144027898866607
Gym Activities,"Aerobics, Step: high impact",300,360,420,2.3309503051438534
Gym Activities,"Bicycling, Stationary: vigorous",315,278,441,2.232444056960186
Training and Sports Activities,Bowling,90,108,0,0.472258064516129
Training and Sports Activities,"Dancing: slow, waltz, foxtrot",90,108,125,0.6974832897413542
Training and Sports Activities,Frisbee,85,105,125,0.6776983435047951
Training and Sports Activities,"Volleyball: non-competitive, general play",90,108,126,0.699285091543156
Training and Sports Activities,Water Volleyball,90,108,126,0.699285091543156
Training and Sports Activities,Golf: using cart,105,126,147,0.8158326068003486
Training and Sports Activities,Gymnastics: general,120,144,168,0.9323801220575415
Training and Sports Activities,Horseback Riding: general,57,70,84,0.4538889857599535
Training and Sports Activities,Tai Chi,120,144,168,0.9323801220575415
Training and Sports Activities,"Volleyball: competitive, gymnasium play",226,281,335,1.8105713455390875
Training and Sports Activities,Walking: 3.5 mph (17 min/mi),107,133,159,0.8578413251961639
Training and Sports Activities,Badminton: general,114,141,168,0.9099285091543156
Training and Sports Activities,Walking: 4 mph (15 min/mi),135,175,189,1.0768846265620458
Training and Sports Activities,Kayaking,150,180,210,1.1654751525719267
Training and Sports Activities,Skateboarding,150,180,210,1.1654751525719267
Training and Sports Activities,Softball: general play,141,180,210,1.1414751525719267
Training and Sports Activities,"Whitewater: rafting, kayaking",150,180,210,1.1654751525719267
Training and Sports Activities,"Dancing: disco, ballroom, square",165,198,231,1.2820226678291196
Training and Sports Activities,Golf: carrying clubs,165,198,231,1.2820226678291196
Training and Sports Activities,"Dancing: Fast, ballet, twist",180,216,252,1.398570183086312
Training and Sports Activities,Hiking: cross-country,170,216,252,1.3719035164196456
Training and Sports Activities,Skiing: downhill,180,216,252,1.398570183086312
Training and Sports Activities,Swimming: general,180,216,252,1.398570183086312
Training and Sports Activities,Walk/Jog: jog <10 min.,180,216,252,1.398570183086312
