name,cups,unit,calorie
Bagels,0,2
pita chips,0.5,0
Barley,0.5,0
Buckwheat,0.5,0
Biscuits,0,1
Bread slice,0,1
Bulgur,0.5,0
Challah bread,0,1
Chapati,0,1
Cornbread,0,1
Couscous,0.5,0
Crackers,0,5
English muffins,0,0.5
Oatmeal,0.5,0	
Pancakes,0,1 	
Pasta -- spaghetti | macaroni | noodles,0.5,0	
Popcorn,3,0
Quinoa,0.5,0
Ready-to-eat breakfast cereal,1,0	
Rice,0.5,0
Tortillas,0,1
